"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Greg Senat","Wagner",78,302,5.38,26,19,106,7.41,4.71,"OT",2018,212,1,1
"Greg Stroman","Virginia Tech",72,180,4.48,33.5,16,113,NA,4.45,"CB",2018,241,3,1
"Harold Landry","Boston Col.",75,252,4.64,36,24,119,6.88,4.19,"EDGE",2018,41,19,1
"Harrison Phillips","Stanford",76,307,5.21,32,42,103,7.28,4.5,"DT",2018,96,5,1
"Hayden Hurst","South Carolina",76,250,4.67,31.5,NA,120,7.19,4.37,"TE",2018,25,12,1
"Hercules Mata'afa","Washington State",73,254,4.76,31.5,26,108,7.24,4.37,"EDGE",2018,300,0,0
"Holton Hill","Texas",75,200,4.49,31,14,120,6.83,4.15,"CB",2018,300,0,0
"Hunter Bradley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,239,4,1
"Ian Thomas","Indiana",76,259,4.74,36,NA,123,7.15,4.2,"TE",2018,101,6,1
"Isaac Yiadom","Boston Col.",73,190,4.52,NA,8,120,NA,4.18,"CB",2018,99,10,1
"Isaiah Oliver","Colorado",73,190,4.5,NA,NA,NA,NA,NA,"CB",2018,58,12,1
"Isaiah Wynn","Georgia",75,313,NA,NA,NA,NA,NA,NA,"OG",2018,23,10,1
"Ito Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,126,7,1
"J'Mon Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,133,1,1
"J.C. Jackson","Maryland",71,193,4.46,35.5,14,120,NA,NA,"CB",2018,300,0,0
"J.T. Barrett","Ohio State",73,224,4.7,30,NA,108,7.38,4.44,"QB",2018,300,0,0
"Jk Scott","Alabama",78,208,4.83,30.5,NA,114,7.28,4.41,"P",2018,300,0,0
"Ja'Whaun Bentley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,143,14,1
"Jamarcus King","South Carolina",73,186,4.7,NA,NA,NA,NA,NA,"CB",2018,300,0,0
"Jack Cichy","Wisconsin",74,238,NA,NA,18,NA,NA,NA,"ILB",2018,202,1,1
"Jacob Pugh","Florida State",76,246,4.65,38.5,NA,122,NA,NA,"OLB",2018,300,0,0
"Jaire Alexander","Louisville",71,192,4.38,35,14,127,6.71,3.98,"CB",2018,18,22,1
"Jake Wieneke","South Dakota State",76,221,4.67,34,9,114,7.24,4.37,"WR",2018,300,0,0
"Jaleel Scott","New Mexico State",77,218,4.56,34.5,16,124,7.2,4.4,"WR",2018,132,1,1
"Jalyn Holmes","Ohio State",77,283,4.82,32,25,NA,NA,NA,"DE",2018,102,6,1
"Jamarco Jones","Ohio State",76,299,5.5,24,NA,102,8.32,4.99,"OT",2018,168,6,1
"James Daniels","Iowa",75,306,NA,30.5,21,108,7.29,4.4,"C",2018,39,14,1
"James Hearns","Louisville",75,239,4.89,NA,22,NA,NA,NA,"EDGE",2018,300,0,0
"James Looney","California",75,287,4.89,35.5,28,113,7.32,4.37,"DE",2018,232,1,1
"James Washington","Oklahoma State",71,213,4.54,34.5,14,120,7.11,4.32,"WR",2018,60,12,1
"Jamil Demby","Maine",76,319,5.58,23.5,17,98,7.86,4.95,"OG",2018,192,2,1
"Jarvion Franklin","West. Michigan",71,239,4.63,30,18,109,6.93,4.31,"RB",2018,300,0,0
"Jaryd Jones-Smith","Pittsburgh",78,317,5.22,27,16,109,8.1,4.94,"OT",2018,300,0,0
"Jason Cabinda","Penn State",73,239,NA,NA,19,NA,NA,NA,"ILB",2018,300,0,0
"Jason Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,229,13,1
"Javon Wims","Georgia",75,215,4.53,33.5,NA,113,7,NA,"WR",2018,224,2,1
"Jaylen Samuels","North Carolina State",71,225,4.54,34.5,18,121,6.93,4.28,"TE",2018,165,8,1
"Jeff Holland","Auburn",74,249,4.79,NA,NA,116,NA,NA,"EDGE",2018,300,0,0
"Jeff Wilson","North Texas",71,210,NA,NA,15,NA,NA,NA,"RB",2018,300,0,0
"Jermaine Kelly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,222,0,1
"Jerome Baker","Ohio State",73,229,4.53,36.5,22,126,NA,NA,"OLB",2018,73,20,1
"Jessie Bates III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,54,21,1
"Jester Weah","Pittsburgh",74,211,4.43,38,15,129,7.24,4.41,"WR",2018,300,0,0
"Jojo Wicker","Arizona State",75,296,5.16,30,25,105,NA,NA,"DE",2018,300,0,0
"Joel Iyiegbuniwe","Western Kentucky",73,229,4.6,35,19,117,7.06,4.28,"LB",2018,115,4,1
"John Atkins","Georgia",76,321,5.38,24,NA,89,7.95,4.75,"DT",2018,300,0,0
"John Kelly","Tennessee",70,216,NA,35,15,120,7.13,4.51,"RB",2018,176,2,1
"Johnny Townsend","Florida",73,210,NA,NA,NA,NA,NA,NA,"P",2018,173,3,1
"Jordan Akins","Central Florida",75,249,NA,NA,NA,NA,NA,NA,"TE",2018,98,10,1
